CNPJ,Fundo,Variavel,Valor,Z-Score
58824505000150,NOME NAO ENCONTRADO,pl_medio,12609781780.996586,3.4495342655050014
00812433000141,BNB AUTOMÁTICO CLASSE DE INVESTIMENTO RENDA FIXA CURTO PRAZO - RESP LIMITADA,captacao_media,207965175.1988755,4.517067095365784
00834074000123,CAIXA PRÁTICO FIC DE CLASSE DE FIF RENDA FIXA CURTO PRAZO - RESPONSABILIDADE LIMITADA,captacao_media,159507033.95361444,3.4501092731177128
00852311000189,BB TOP DI RENDA FIXA REFERENCIADO DI LONGO PRAZO FIF RESPONSABILIDADE LIMITADA,captacao_media,179928352.13512194,3.8997485827250946
01129004000137,ITAÚ EMPRESA TRUST RF REFERENCIADO DI FIF DA CLASSE DE INVESTIMENTO EM COTAS RESP LIMITADA,captacao_media,406685588.3842972,8.892519678563854
01597187000115,SPECIAL RENDA FIXA REFERENCIADO DI FUNDO DE INVESTIMENTO FINANCEIRO RESPONSABILIDADE LIMITADA,captacao_media,405357675.0489156,8.863281505492338
01599628000118,ITAÚ CORP PLUS RENDA FIXA REFERENCIADO DI FIF CIC RESPONSABILIDADE LIMITADA,captacao_media,154698869.85204822,3.3442424741240524
01608573000165,BB TOP RENDA FIXA CURTO PRAZO FUNDO DE INVESTIMENTO FINANCEIRO RESPONSABILIDADE LIMITADA,captacao_media,1748801612.6200812,38.44340944908083
01624316000117,ITAÚ RENDA FIXA REFERENCIADO DI FUNDO DE INVESTIMENTO FINANCEIRO RESPONSABILIDADE LIMITADA,captacao_media,208718340.99433732,4.533650400384655
02506721000101,BB RENDA FIXA SIMPLES SOLIDEZ DIFERENCIADO FUNDO DE INVESTIMENTO EM COTAS DE FIF RESP LIMITADA,captacao_media,364443879.35583675,7.962436090649709
02513875000112,FUNDO DE INVESTIMENTO FINANCEIRO TESOURO RENDA FIXA RESPONSABILIDADE LIMITADA,captacao_media,398969035.78000003,8.722615593298332
03187084000102,ITAÚ PP RENDA FIXA CURTO PRAZO FIF CIC RESP LIMITADA,captacao_media,173364785.12685484,3.755231088216268
03256793000100,BRADESCO FIF - CLASSE DE INVESTIMENTO RENDA FIXA REFERENCIADA DI FEDERAL EXTRA -RESP LIMITADA,captacao_media,188442708.35702813,4.087218814535889
03389374000139,BB TOP RF ARROJADO FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO RESPONSABILIDADE LIMITADA,captacao_media,448496585.06920314,9.813119784605092
03504023000121,BB TOP PRINCIPAL RENDA FIXA REFERENCIADO DI LONGO PRAZO FIF RESPONSABILIDADE LIMITADA,captacao_media,423962416.5088211,9.272923186362434
03737206000197,NOME NAO ENCONTRADO,captacao_media,156898921.8207229,3.3926835120385905
04160232000168,BB MILENIO 32 FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA RESPONSABILIDADE LIMITADA,captacao_media,240305457.95364,5.229139757919362
05943661000174,BB RENDA FIXA REFERENCIADO DI PLUS ÁGIL FUNDO DE INVESTIMENTO EM COTAS DE FIF RESP LIMITADA,captacao_media,398711374.9392683,8.716942382513908
06006188000161,BB TOP DI C RENDA FIXA REFERENCIADO DI FUNDO DE INVESTIMENTO FINANCEIRO RESPONSABILIDADE LIMITADA,captacao_media,696053051.3417552,15.263851103430097
06175696000173,ITAÚ SOBERANO RENDA FIXA SIMPLES FIF DA CIC RESPONSABILIDADE LIMITADA,captacao_media,2405226213.4118037,52.89665393045657
07214377000192,NOME NAO ENCONTRADO,captacao_media,466983428.11528003,10.220165562462142
07408525000100,NOME NAO ENCONTRADO,captacao_media,336510845.54951024,7.3474028237330895
07593967000173,NOME NAO ENCONTRADO,captacao_media,139754420.0188048,3.0151935828743843
07593972000186,NOME NAO ENCONTRADO,captacao_media,608125195.7806478,13.327843842862778
07966986000106,NOME NAO ENCONTRADO,captacao_media,278632331.14553785,6.073025967822315
08212681000163,NOME NAO ENCONTRADO,captacao_media,901467632.5791566,19.786696772350403
08915927000163,NOME NAO ENCONTRADO,captacao_media,554751001.0618,12.152643699026566
